Age,Sex,Job,Credit amount,Duration,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Credit Score,Risk Band
28,1,2,1403,15,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
32,1,1,1282,24,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
53,0,2,2424,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
25,0,2,8072,30,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,487,D - High Risk
44,1,3,12579,24,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
31,0,2,3430,24,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,481,D - High Risk
48,0,2,2134,9,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
44,0,2,2647,6,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,340,D - High Risk
48,0,1,2241,10,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
44,0,2,1804,12,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
26,0,2,2069,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
36,0,1,1374,6,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
39,0,1,426,6,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
42,1,2,409,12,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,300,D - High Risk
34,0,2,2415,7,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
63,0,2,6836,60,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,487,D - High Risk
36,0,2,1913,18,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,300,D - High Risk
27,0,2,4020,24,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,487,D - High Risk
30,0,2,5866,18,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
57,0,1,1264,12,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,300,D - High Risk
33,1,3,1474,12,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,300,D - High Risk
25,0,1,4746,45,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,487,D - High Risk
31,0,2,6110,48,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,487,D - High Risk
37,0,2,2100,18,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,300,D - High Risk
37,0,2,1225,10,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,300,D - High Risk
24,0,2,458,9,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
30,0,3,2333,30,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
26,0,2,1158,12,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
44,0,1,6204,18,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,487,D - High Risk
24,0,2,6187,30,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
58,1,1,6143,48,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
35,1,3,1393,11,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
39,0,2,2299,36,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
23,1,0,1352,6,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
39,0,1,7228,11,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
28,1,2,2073,12,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
29,0,1,2333,24,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,300,D - High Risk
30,0,3,5965,27,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
25,0,2,1262,12,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
31,0,2,3378,18,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,480,D - High Risk
57,0,2,2225,36,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
26,0,1,783,6,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
52,0,3,6468,12,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,487,D - High Risk
31,1,2,9566,36,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,487,D - High Risk
23,1,3,1961,18,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,300,D - High Risk
23,1,1,6229,36,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,487,D - High Risk
27,0,2,1391,9,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,300,D - High Risk
50,0,2,1537,15,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
61,0,3,1953,36,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,300,D - High Risk
25,0,2,14421,48,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,487,D - High Risk
26,1,2,3181,24,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,456,D - High Risk
48,0,2,5190,27,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,487,D - High Risk
29,1,2,2171,12,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
22,0,2,1007,12,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
37,0,2,1819,36,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,300,D - High Risk
25,1,2,2394,36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
30,1,2,8133,36,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
46,0,1,730,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
51,0,3,1164,8,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,300,D - High Risk
41,1,1,5954,42,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,487,D - High Risk
40,0,3,1977,36,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,300,D - High Risk
66,0,3,1526,12,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
34,0,2,3965,42,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,486,D - High Risk
51,0,2,4771,11,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,487,D - High Risk
39,0,1,9436,54,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
22,0,2,3832,30,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,486,D - High Risk
44,1,2,5943,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,487,D - High Risk
47,0,2,1213,15,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
24,1,1,1568,18,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,300,D - High Risk
58,1,1,1755,24,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,300,D - High Risk
52,0,1,2315,10,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
29,1,3,1412,12,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,300,D - High Risk
27,1,2,1295,18,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,300,D - High Risk
47,0,2,12612,36,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,487,D - High Risk
30,0,3,2249,18,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
28,0,2,1108,12,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,300,D - High Risk
56,0,2,618,12,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
54,0,2,1409,12,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
33,1,1,797,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
20,0,2,3617,24,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,486,D - High Risk
54,0,2,1318,12,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
58,0,2,15945,54,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,487,D - High Risk
61,1,2,2012,12,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,300,D - High Risk
34,0,2,2622,18,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,341,D - High Risk
36,0,2,2337,36,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
36,0,3,7057,20,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
41,0,1,1469,24,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
24,0,2,2323,36,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
24,1,2,932,6,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
35,0,2,1919,9,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,300,D - High Risk
26,0,2,2445,12,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,302,D - High Risk
39,0,3,11938,24,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,487,D - High Risk
39,0,3,6458,18,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
32,0,2,6078,12,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
30,1,2,7721,24,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,487,D - High Risk
35,0,2,1410,14,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,300,D - High Risk
31,0,2,1449,6,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,300,D - High Risk
23,1,2,392,15,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,300,D - High Risk
28,0,1,6260,18,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
25,1,2,7855,36,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
35,0,2,1680,12,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
47,0,2,3578,48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,481,D - High Risk
30,1,3,7174,42,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,487,D - High Risk
27,1,2,2132,10,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
23,1,2,4281,33,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,487,D - High Risk
36,0,3,2366,12,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
25,1,2,1835,21,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
41,1,3,3868,24,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,486,D - High Risk
24,0,1,1768,12,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
63,0,2,781,10,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,300,D - High Risk
27,1,2,1924,18,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,300,D - High Risk
30,0,2,2121,12,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
40,0,1,701,12,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
30,0,2,639,12,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,300,D - High Risk
34,0,3,1860,12,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
29,1,2,3499,12,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,484,D - High Risk
24,1,2,8487,48,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
29,0,2,6887,36,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,487,D - High Risk
27,0,1,2708,15,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,375,D - High Risk
47,0,2,1984,18,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
21,1,2,10144,60,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,487,D - High Risk
38,1,2,1240,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
27,0,2,8613,27,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
66,0,1,766,12,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
35,0,2,2728,15,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,366,D - High Risk
44,1,1,1881,12,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,300,D - High Risk
27,0,0,709,6,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,300,D - High Risk
30,1,3,4795,36,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,487,D - High Risk
27,0,3,3416,27,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,477,D - High Risk
22,0,2,2462,18,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,305,D - High Risk
23,1,2,2288,21,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
30,0,2,3566,48,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,483,D - High Risk
39,1,2,860,6,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
51,1,2,682,12,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
28,0,2,5371,36,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,487,D - High Risk
46,0,2,1582,18,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
42,0,2,1346,6,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
38,0,2,1924,10,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
24,0,2,5848,36,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,487,D - High Risk
29,1,2,7758,24,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
36,0,3,6967,24,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,487,D - High Risk
20,1,2,1282,12,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
48,0,2,1288,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,300,D - High Risk
45,0,1,339,12,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,300,D - High Risk
38,0,2,3512,24,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,483,D - High Risk
34,0,1,1898,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
36,0,2,2872,24,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,391,D - High Risk
30,1,2,1055,18,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
36,0,2,1262,15,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,300,D - High Risk
70,0,3,7308,10,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
36,0,2,909,36,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
32,0,2,2978,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,432,D - High Risk
33,1,2,1131,18,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
20,1,2,1577,11,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,300,D - High Risk
25,1,2,3972,24,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,487,D - High Risk
31,0,2,1935,24,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,300,D - High Risk
33,0,2,950,15,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
26,1,2,763,12,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
34,1,3,2064,24,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,300,D - High Risk
33,0,2,1414,8,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
26,0,2,3414,21,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,481,D - High Risk
53,1,3,7485,30,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
42,0,2,2577,12,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,322,D - High Risk
52,0,2,338,6,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
31,0,3,1963,12,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
65,0,2,571,21,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
28,0,2,9572,36,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,487,D - High Risk
30,0,3,4455,36,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,487,D - High Risk
40,0,1,1647,21,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
50,0,2,3777,24,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,486,D - High Risk
36,0,2,884,18,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
31,0,2,1360,15,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
74,1,3,5129,9,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
68,0,0,1175,16,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
20,0,2,674,12,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
33,1,2,3244,18,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,465,D - High Risk
54,0,3,4591,24,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,487,D - High Risk
34,0,1,3844,48,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,486,D - High Risk
36,0,2,3915,27,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,486,D - High Risk
29,0,2,2108,6,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
21,0,2,3031,45,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,415,D - High Risk
34,1,3,1501,9,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,300,D - High Risk
28,1,2,1382,6,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
27,1,2,951,12,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,300,D - High Risk
36,0,2,2760,24,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,363,D - High Risk
40,0,3,4297,18,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,487,D - High Risk
52,0,2,936,9,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,300,D - High Risk
27,0,1,1168,12,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
26,0,2,5117,27,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,487,D - High Risk
21,0,2,902,12,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,300,D - High Risk
38,0,1,1495,12,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
38,0,3,10623,30,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
43,0,2,1935,12,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,300,D - High Risk
26,0,2,1424,12,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,300,D - High Risk
21,0,1,6568,24,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,487,D - High Risk
55,0,2,1413,12,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
33,0,2,3074,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,449,D - High Risk
45,1,1,3835,36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,486,D - High Risk
50,0,2,5293,27,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,487,D - High Risk
66,0,3,1908,30,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,300,D - High Risk
51,0,2,3342,36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,465,D - High Risk
39,1,1,932,6,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,300,D - High Risk
31,0,2,3104,18,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,448,D - High Risk
23,0,2,3913,36,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,486,D - High Risk
24,0,1,3021,24,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,434,D - High Risk
64,1,2,1364,10,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
26,0,1,625,12,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
23,1,2,1200,12,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,300,D - High Risk
30,0,2,707,12,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
32,0,2,2978,24,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,420,D - High Risk
30,0,2,4657,15,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
27,0,2,2613,36,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,324,D - High Risk
27,0,2,10961,48,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,487,D - High Risk
53,0,3,7865,12,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,487,D - High Risk
22,0,2,1478,9,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
22,0,2,3149,24,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,454,D - High Risk
26,0,2,4210,36,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,487,D - High Risk
51,0,1,2507,9,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,315,D - High Risk
35,0,2,2141,12,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
25,0,1,866,18,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
42,0,1,1544,4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
30,0,3,1823,24,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
23,0,0,14555,6,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
61,0,1,2767,21,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,356,D - High Risk
35,1,2,1291,12,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
39,0,2,2522,30,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
29,1,2,915,24,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
51,0,2,1595,6,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
24,0,2,4605,48,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
